transaction_id,customer_id,customer_name,service_type,transaction_amount,fee_amount,channel,transaction_timestamp,status,customer_rating
TXN-6011881,CUST-1336,Fatima Babangida,Airtime Purchase,608.44,0.0,USSD,2024-09-07 18:38:30,Success,5
TXN-9069838,CUST-1261,Yusuf Adebayo,Bank Transfer,422162.56,2110.81,Mobile App,2024-06-18 01:18:50,Success,5
TXN-1541485,CUST-1874,Danjuma Oni,Bill Payment,29366.28,100.0,Mobile App,2024-06-30 16:28:25,Success,5
TXN-5234002,CUST-1738,Kelechi Sanni,Bill Payment,12453.78,100.0,Web Portal,2024-03-14 17:19:49,Success,2
TXN-6823429,CUST-5300,Danjuma Bello,Bank Transfer,221532.05,1107.66,USSD,2024-05-06 03:26:09,Success,5
TXN-6934433,CUST-1866,Jide Balogun,Bill Payment,46951.78,100.0,USSD,2024-09-17 22:01:07,Success,4
TXN-4002736,CUST-2811,Amarachi Sanni,Bank Transfer,197622.52,988.11,USSD,2024-10-02 09:10:22,Success,4
TXN-2130568,CUST-1253,Emeka Chukwu,Data Purchase,3539.49,0.0,Mobile App,2024-05-11 06:47:28,Success,5
TXN-2816108,CUST-5939,Yusuf Bello,Bill Payment,12223.71,100.0,USSD,2024-10-14 17:00:58,Pending,
TXN-1237530,CUST-2047,Funke Oni,Airtime Purchase,1521.06,0.0,Mobile App,2024-01-28 15:27:46,Success,5
TXN-6002140,CUST-3231,Amarachi Eze,Data Purchase,3899.14,0.0,Web Portal,2024-11-10 06:12:36,Success,3
TXN-9357848,CUST-2112,Obinna Danjuma,Data Purchase,4631.75,0.0,Mobile App,2024-07-23 12:11:12,Success,5
TXN-7187794,CUST-4790,Amina Adeleke,Bill Payment,17410.64,100.0,Mobile App,2024-12-01 08:53:17,Success,4
TXN-9304732,CUST-5987,Efe Bakare,Bank Transfer,254419.88,1272.1,USSD,2024-07-02 17:08:23,Success,4
TXN-8658764,CUST-4290,Chioma Abubakar,Bank Transfer,413603.18,2068.02,Web Portal,2024-01-29 13:07:26,Success,3
TXN-3485744,CUST-2577,Funke Ibrahim,Airtime Purchase,2270.16,0.0,Mobile App,2024-10-16 09:40:24,Success,4
TXN-1146054,CUST-2310,Yakubu Sanni,Bill Payment,15713.73,100.0,Web Portal,2024-02-08 21:43:06,Success,4
TXN-1768405,CUST-4130,Zainab Adeleke,Airtime Purchase,2712.79,0.0,USSD,2024-05-05 12:55:50,Success,3
TXN-4132602,CUST-1920,Uche Okonkwo,Data Purchase,1815.7,0.0,Mobile App,2024-05-10 05:49:24,Success,4
TXN-7645271,CUST-1970,Folake Oni,Bill Payment,42690.97,100.0,Mobile App,2024-11-05 03:06:20,Success,5
TXN-7060404,CUST-1472,Yusuf Adeyemi,Airtime Purchase,1342.1,0.0,USSD,2024-04-22 07:02:57,Failed,
TXN-8096861,CUST-5917,Amina Oni,Data Purchase,2484.06,0.0,Mobile App,2024-08-25 22:54:24,Success,4
TXN-8857325,CUST-1726,Obinna Adeleke,Bank Transfer,75476.74,377.38,Mobile App,2024-06-15 03:38:50,Success,5
TXN-3373213,CUST-1281,Bisi Okonkwo,Bank Transfer,399038.01,1995.19,Mobile App,2024-03-13 11:23:41,Success,5
TXN-8503410,CUST-2932,Folake Sanni,Bill Payment,5733.96,100.0,Web Portal,2024-11-06 04:54:42,Success,4
TXN-8227362,CUST-4972,Bisi Mohammed,Data Purchase,3249.88,0.0,Web Portal,2024-06-23 18:19:31,Pending,
TXN-4834420,CUST-1825,Folake Umar,Data Purchase,1610.9,0.0,USSD,2024-02-04 14:23:33,Success,4
TXN-3570565,CUST-4443,Ngozi Okonkwo,Airtime Purchase,4649.33,0.0,Mobile App,2024-08-14 00:46:33,Success,5
TXN-4694294,CUST-3784,Kelechi Adeleke,Bill Payment,36490.34,100.0,USSD,2024-04-13 07:20:10,Success,4
TXN-6213000,CUST-5804,Danjuma Bakare,Bank Transfer,269575.03,1347.88,Mobile App,2024-11-19 21:20:19,Success,5
TXN-7176235,CUST-2057,Bolaji Sanni,Airtime Purchase,3564.37,0.0,USSD,2024-06-18 23:13:05,Success,4
TXN-1971349,CUST-3388,Musa Adeleke,Data Purchase,1243.13,0.0,Web Portal,2024-07-16 13:41:22,Success,4
TXN-4263235,CUST-4156,Fatima Adebayo,Bill Payment,46612.6,100.0,Mobile App,2024-09-09 14:43:48,Success,5
TXN-9257430,CUST-1820,Funke Oni,Bank Transfer,443213.61,2216.07,Mobile App,2024-03-16 00:01:14,Success,3
TXN-4135927,CUST-5865,Jide Adebayo,Bank Transfer,174152.75,870.76,USSD,2024-11-09 00:09:49,Pending,
TXN-6352525,CUST-1207,Musa Bakare,Bill Payment,48119.48,100.0,Mobile App,2024-01-15 15:05:45,Success,5
TXN-7261185,CUST-2728,Folake Mohammed,Airtime Purchase,645.58,0.0,Mobile App,2024-04-21 02:54:00,Success,5
TXN-1503659,CUST-4352,Segun Adeyemi,Bank Transfer,418316.5,2091.58,Mobile App,2024-08-16 00:05:38,Success,4
TXN-1923603,CUST-5574,Chinedu Umar,Bank Transfer,179163.04,895.82,Mobile App,2024-06-26 09:11:19,Success,4
TXN-5411043,CUST-4244,Musa Babangida,Airtime Purchase,4516.67,0.0,Mobile App,2024-05-18 21:39:32,Success,4
TXN-7563907,CUST-4713,Jide Bakare,Bank Transfer,421659.6,2108.3,Mobile App,2024-01-07 08:03:11,Success,4
TXN-7010445,CUST-3718,Musa Oni,Bill Payment,4600.79,100.0,Mobile App,2024-09-30 05:46:51,Success,5
TXN-1113664,CUST-3262,Ngozi Umar,Data Purchase,4714.6,0.0,Mobile App,2024-03-23 04:09:57,Success,4
TXN-3305305,CUST-3179,Yakubu Adeyemi,Bank Transfer,146760.05,733.8,Mobile App,2024-11-24 14:36:02,Success,5
TXN-9051992,CUST-4037,Folake Nwosu,Airtime Purchase,659.29,0.0,USSD,2024-02-01 20:15:33,Success,4
